id_beneficiario,nome,filiacao1,filiacao2,cpf,data_nascimento,documento_identidade,nacionalidade,email
1,Javier Morales,Ricardo Morales,Elena Fernandez,11122233344,1990-05-15,ARG-23456789,Argentina,javier.morales@email.com
2,Sofia Rojas,Mateo Rojas,Valentina Gomez,22233344455,1988-11-20,CHL-18901234,Chilena,sofia.rojas@email.com
3,Mateo Ferreira,Lucas Ferreira,Isabella Acosta,33344455566,1995-02-10,URY-45678901,Uruguaia,mateo.ferreira@email.com
4,Camila Flores,Sebastian Flores,Gabriela Quispe,44455566677,1992-09-30,PER-78901234,Peruana,camila.flores@email.com
5,Santiago Diaz,Alejandro Diaz,Valeria Torres,55566677788,1985-07-25,COL-56789012,Colombiana,santiago.diaz@email.com
6,Valentina Chavez,Daniel Chavez,Lucia Mendoza,66677788899,1998-01-12,VEN-90123456,Venezuelana,valentina.chavez@email.com
7,Lucas Mamani,Miguel Mamani,Beatriz Vargas,77788899900,1991-04-05,BOL-34567890,Boliviana,lucas.mamani@email.com
8,Isabella Romero,Carlos Romero,Paula Benitez,88899900011,1993-08-18,PRY-67890123,Paraguaia,isabella.romero@email.com
9,Benjamin Soto,Jorge Soto,Andrea Castro,99900011122,1987-03-22,CHL-19876543,Chilena,benjamin.soto@email.com
10,Martina Castillo,Luis Castillo,Jimena Ortiz,10101010101,1996-12-01,ARG-34567890,Argentina,martina.castillo@email.com
11,Agustin Gimenez,Roberto Gimenez,Laura Sosa,20202020202,1989-10-14,URY-56789012,Uruguaia,agustin.gimenez@email.com
12,Florencia Paredes,Gustavo Paredes,Silvia Rios,30303030303,1994-06-08,PRY-89012345,Paraguaia,florencia.paredes@email.com
13,Matias Garcia,Hernan Garcia,Monica Rodriguez,40404040404,1990-11-27,ARG-45678901,Argentina,matias.garcia@email.com
14,Catalina Vega,Andres Vega,Constanza Reyes,50505050505,1997-05-19,CHL-20987654,Chilena,catalina.vega@email.com
15,Juan Ramirez,Diego Ramirez,Carmen Sanchez,60606060606,1986-02-28,COL-67890123,Colombiana,juan.ramirez@email.com
16,Daniela Cruz,Oscar Cruz,Adriana Lopez,70707070707,1991-07-03,PER-90123456,Peruana,daniela.cruz@email.com
17,Emilio Herrera,Fernando Herrera,Marcela Navarro,80808080808,1984-09-09,VEN-23456789,Venezuelana,emilio.herrera@email.com
18,Renata Guzman,Raul Guzman,Teresa Pinto,90909090909,1999-03-16,BOL-45678901,Boliviana,renata.guzman@email.com
19,Facundo Ibañez,Sergio Ibañez,Norma Pereyra,12121212121,1992-10-21,ARG-56789012,Argentina,facundo.ibanez@email.com
20,Valeria Morales,Jose Morales,Pilar Silva,23232323232,1993-12-30,CHL-21098765,Chilena,valeria.morales@email.com
